PDB,CHAIN,ACCESSION,EC_NUMBER
5abj,D,I3W9E1,3.6.1.15
5abk,A,Q9KMU6,3.4.24.-
5abm,A,P51977,1.2.1.19
5abm,A,P51977,1.2.1.28
5abm,A,P51977,1.2.1.3
5abm,A,P51977,1.2.1.36
5abm,B,P51977,1.2.1.19
5abm,B,P51977,1.2.1.28
5abm,B,P51977,1.2.1.3
5abm,B,P51977,1.2.1.36
5abm,C,P51977,1.2.1.19
5abm,C,P51977,1.2.1.28
5abm,C,P51977,1.2.1.3
5abm,C,P51977,1.2.1.36
5abm,D,P51977,1.2.1.19
5abm,D,P51977,1.2.1.28
5abm,D,P51977,1.2.1.3
5abm,D,P51977,1.2.1.36
5abn,A,O94753,1.11.1.16
5abo,A,O94753,1.11.1.16
5abq,A,O94753,1.11.1.16
5abt,A,P10372,5.3.1.16
5abw,A,P08246,3.4.21.37
5ac0,A,P51977,1.2.1.19
5ac0,A,P51977,1.2.1.28
5ac0,A,P51977,1.2.1.3
5ac0,A,P51977,1.2.1.36
5ac0,B,P51977,1.2.1.19
5ac0,B,P51977,1.2.1.28
5ac0,B,P51977,1.2.1.3
5ac0,B,P51977,1.2.1.36
5ac1,A,P51977,1.2.1.19
5ac1,A,P51977,1.2.1.28
5ac1,A,P51977,1.2.1.3
5ac1,A,P51977,1.2.1.36
5ac1,B,P51977,1.2.1.19
5ac1,B,P51977,1.2.1.28
5ac1,B,P51977,1.2.1.3
5ac1,B,P51977,1.2.1.36
5ac1,C,P51977,1.2.1.19
5ac1,C,P51977,1.2.1.28
5ac1,C,P51977,1.2.1.3
5ac1,C,P51977,1.2.1.36
5ac1,D,P51977,1.2.1.19
5ac1,D,P51977,1.2.1.28
5ac1,D,P51977,1.2.1.3
5ac1,D,P51977,1.2.1.36
5ac2,A,P00352,1.2.1.19
5ac2,A,P00352,1.2.1.28
5ac2,A,P00352,1.2.1.3
5ac2,A,P00352,1.2.1.36
5ac3,A,Q8RJN5,3.5.1.4
5ac4,A,A0A0H2US73,3.2.1.52
5ac4,B,A0A0H2US73,3.2.1.52
5ac5,A,A0A0H2US73,3.2.1.52
5ac5,B,A0A0H2US73,3.2.1.52
5ac6,A,P10372,5.3.1.16
5ac7,A,P10372,5.3.1.16
5ac7,B,P10372,5.3.1.16
5ac8,A,P10372,5.3.1.16
5ac9,1,Q6PMW3,3.4.22.46
5ac9,1,Q6PMW3,3.6.1.15
5ac9,2,Q6PMW3,3.4.22.46
5ac9,2,Q6PMW3,3.6.1.15
5ac9,3,Q6PMW3,3.4.22.46
5ac9,3,Q6PMW3,3.6.1.15
5ac9,4,Q6PMW3,3.4.22.46
5ac9,4,Q6PMW3,3.6.1.15
5aca,1,Q719N0,3.4.22.46
5aca,1,Q719N0,3.6.1.15
5aca,1,Q719N0,3.6.4.13
5aca,2,Q719N0,3.4.22.46
5aca,2,Q719N0,3.6.1.15
5aca,2,Q719N0,3.6.4.13
5acb,C,Q9NYV4,2.7.11.22
5acb,C,Q9NYV4,2.7.11.23
5acb,D,Q9NYV4,2.7.11.22
5acb,D,Q9NYV4,2.7.11.23
5acf,A,A0A0S2GKZ1,1.14.99.56
5acg,A,A0A0S2GKZ1,1.14.99.56
5ach,A,A0A0S2GKZ1,1.14.99.56
5aci,A,A0A0S2GKZ1,1.14.99.56
5acj,A,A0A0S2GKZ1,1.14.99.56
5ack,A,O15530,2.7.11.1
5acn,A,P16276,4.2.1.3
5acp,A,Q704V1,3.5.2.6
5acp,B,Q704V1,3.5.2.6
5acq,A,Q704V1,3.5.2.6
5acq,B,Q704V1,3.5.2.6
5acr,A,Q704V1,3.5.2.6
5acr,B,Q704V1,3.5.2.6
5acs,A,Q704V1,3.5.2.6
5acs,B,Q704V1,3.5.2.6
5act,A,Q704V1,3.5.2.6
5act,B,Q704V1,3.5.2.6
5acu,A,Q9K2N0,3.5.2.6
5acv,A,Q9K2N0,3.5.2.6
5acv,B,Q9K2N0,3.5.2.6
5acw,A,Q9K2N0,3.5.2.6
5acw,B,Q9K2N0,3.5.2.6
5acx,A,Q9K2N0,3.5.2.6
5acx,B,Q9K2N0,3.5.2.6
5ad4,A,P29476,1.14.13.39
5ad4,B,P29476,1.14.13.39
5ad5,A,P29476,1.14.13.39
5ad5,B,P29476,1.14.13.39
5ad6,A,P29476,1.14.13.39
5ad6,B,P29476,1.14.13.39
5ad7,A,P29476,1.14.13.39
5ad7,B,P29476,1.14.13.39
5ad8,A,P29476,1.14.13.39
5ad8,B,P29476,1.14.13.39
5ad9,A,P29476,1.14.13.39
5ad9,B,P29476,1.14.13.39
5ada,A,P29476,1.14.13.39
5ada,B,P29476,1.14.13.39
5adb,A,P29476,1.14.13.39
5adb,B,P29476,1.14.13.39
5adc,A,P29476,1.14.13.39
5adc,B,P29476,1.14.13.39
5add,A,P29476,1.14.13.39
5add,B,P29476,1.14.13.39
5ade,A,P29476,1.14.13.39
5ade,B,P29476,1.14.13.39
5adf,A,P29475,1.14.13.39
5adf,B,P29475,1.14.13.39
5adg,A,P29475,1.14.13.39
5adg,B,P29475,1.14.13.39
5adh,A,P00327,1.1.1.1
5adi,A,P29475,1.14.13.39
5adi,B,P29475,1.14.13.39
5adj,A,P29473,1.14.13.39
5adj,B,P29473,1.14.13.39
5adk,A,P29473,1.14.13.39
5adk,B,P29473,1.14.13.39
5adl,A,P29473,1.14.13.39
5adl,B,P29473,1.14.13.39
5adm,A,P29473,1.14.13.39
5adm,B,P29473,1.14.13.39
5adn,A,P29473,1.14.13.39
5adn,B,P29473,1.14.13.39
5adq,A,Q9H2K2,2.4.2.-
5adq,A,Q9H2K2,2.4.2.30
5adq,B,Q9H2K2,2.4.2.-
5adq,B,Q9H2K2,2.4.2.30
5adr,A,Q9H2K2,2.4.2.-
5adr,A,Q9H2K2,2.4.2.30
5adr,B,Q9H2K2,2.4.2.-
5adr,B,Q9H2K2,2.4.2.30
5ads,A,Q9H2K2,2.4.2.-
5ads,A,Q9H2K2,2.4.2.30
5ads,B,Q9H2K2,2.4.2.-
5ads,B,Q9H2K2,2.4.2.30
5adt,A,Q9H2K2,2.4.2.-
5adt,A,Q9H2K2,2.4.2.30
5adt,B,Q9H2K2,2.4.2.-
5adt,B,Q9H2K2,2.4.2.30
5adu,L,P0ACD8,1.12.99.6
5adu,M,P0ACD8,1.12.99.6
5adu,S,P69739,1.12.99.6
5adu,T,P69739,1.12.99.6
5adx,H,Q6QAQ1,3.6.4.-
5adz,A,P97275,2.5.1.26
5adz,B,P97275,2.5.1.26
5adz,C,P97275,2.5.1.26
5adz,D,P97275,2.5.1.26
5ae0,A,P16330,3.1.4.37
5ae1,A,P97275,2.5.1.26
5ae1,B,P97275,2.5.1.26
5ae1,C,P97275,2.5.1.26
5ae1,D,P97275,2.5.1.26
5ae2,A,P97275,2.5.1.26
5ae2,B,P97275,2.5.1.26
5ae2,C,P97275,2.5.1.26
5ae2,D,P97275,2.5.1.26
5ae3,A,P97275,2.5.1.26
5ae3,B,P97275,2.5.1.26
5ae3,C,P97275,2.5.1.26
5ae3,D,P97275,2.5.1.26
5ae6,A,Q92458,3.2.1.37
5ae6,B,Q92458,3.2.1.37
5ae8,A,O35904,2.7.1.137
5ae8,A,O35904,2.7.1.153
5ae9,A,O35904,2.7.1.137
5ae9,A,O35904,2.7.1.153
5aeb,A,B5L5V5,3.5.2.6
5aeb,B,B5L5V5,3.5.2.6
5aec,A,D7UER1,1.14.14.155
5aec,B,D7UER1,1.14.14.155
5aed,A,P32138,3.2.1.199
5aed,B,P32138,3.2.1.199
5aee,A,P32138,3.2.1.199
5aee,B,P32138,3.2.1.199
5aeg,A,P32138,3.2.1.199
5aeg,B,P32138,3.2.1.199
5aeh,A,Q9H2K2,2.4.2.-
5aeh,A,Q9H2K2,2.4.2.30
5aeh,B,Q9H2K2,2.4.2.-
5aeh,B,Q9H2K2,2.4.2.30
5aek,A,Q9HC62,3.4.22.-
5aek,C,Q9HC62,3.4.22.-
5aek,E,Q9HC62,3.4.22.-
5aek,G,Q9HC62,3.4.22.-
5aek,I,Q9HC62,3.4.22.-
5aek,K,Q9HC62,3.4.22.-
5aek,M,Q9HC62,3.4.22.-
5aek,O,Q9HC62,3.4.22.-
5aek,Q,Q9HC62,3.4.22.-
5aek,S,Q9HC62,3.4.22.-
5aek,U,Q9HC62,3.4.22.-
5aek,W,Q9HC62,3.4.22.-
5ael,A,Q86C09,2.5.1.10
5ael,B,Q86C09,2.5.1.10
5aen,A,P09960,3.3.2.6
5aen,A,P09960,3.4.11.4
5aep,A,O60674,2.7.10.2
5aes,A,P60487,3.1.3.16
5aes,A,P60487,3.1.3.74
5aes,B,P60487,3.1.3.16
5aes,B,P60487,3.1.3.74
5aeu,A,P37333,1.14.12.18
5aeu,B,P37334,1.14.12.18
5aeu,C,P37333,1.14.12.18
5aeu,D,P37334,1.14.12.18
5aeu,E,P37333,1.14.12.18
5aeu,F,P37334,1.14.12.18
5aeu,G,P37333,1.14.12.18
5aeu,H,P37334,1.14.12.18
5aew,A,P37333,1.14.12.18
5aew,B,P37334,1.14.12.18
5aew,C,P37333,1.14.12.18
5aew,D,P37334,1.14.12.18
5aew,E,P37333,1.14.12.18
5aew,F,P37334,1.14.12.18
5aew,G,P37333,1.14.12.18
5aew,H,P37334,1.14.12.18
5aew,I,P37333,1.14.12.18
5aew,J,P37334,1.14.12.18
5aew,K,P37333,1.14.12.18
5aew,L,P37334,1.14.12.18
5aew,M,P37333,1.14.12.18
5aew,N,P37334,1.14.12.18
5aew,O,P37333,1.14.12.18
5aew,P,P37334,1.14.12.18
5aew,Q,P37333,1.14.12.18
5aew,R,P37334,1.14.12.18
5aew,S,P37333,1.14.12.18
5aew,T,P37334,1.14.12.18
5aew,U,P37333,1.14.12.18
5aew,V,P37334,1.14.12.18
5aew,W,P37333,1.14.12.18
5aew,X,P37334,1.14.12.18
5af2,A,A2T3S5,2.1.1.56
5af2,A,A2T3S5,2.7.7.50
5af2,A,A2T3S5,3.1.4.-
5af2,B,A2T3S5,2.1.1.56
5af2,B,A2T3S5,2.7.7.50
5af2,B,A2T3S5,3.1.4.-
5af2,C,A2T3S5,2.1.1.56
5af2,C,A2T3S5,2.7.7.50
5af2,C,A2T3S5,3.1.4.-
5af2,D,A2T3S5,2.1.1.56
5af2,D,A2T3S5,2.7.7.50
5af2,D,A2T3S5,3.1.4.-
5af6,F,Q9UGI0,3.4.19.12
5af6,G,Q9UGI0,3.4.19.12
5af6,H,Q9UGI0,3.4.19.12
5af6,I,Q9UGI0,3.4.19.12
5af6,J,Q9UGI0,3.4.19.12
5af7,A,K4L7X3,3.13.1.4
5af7,B,K4L7X3,3.13.1.4
5af9,H,P00734,3.4.21.5
5af9,L,P00734,3.4.21.5
5afa,A,Q72HW2,1.10.3.2
5afd,A,B6EI04,4.1.3.3
5afe,A,Q3LHN3,3.2.1.4
5afg,A,Q00987,2.3.2.27
5afi,z,P0CE48,3.6.5.3
5afp,C,Q15835,2.7.11.14
5afp,D,Q15835,2.7.11.14
5afu,H,Q6QAQ1,3.6.4.-
5afv,A,P35790,2.7.1.32
5afv,A,P35790,2.7.1.82
5afv,B,P35790,2.7.1.32
5afv,B,P35790,2.7.1.82
5afw,A,O14646,3.6.4.-
5afw,B,O60341,1.14.11.-
5afw,B,O60341,1.14.11.65
5afw,B,O60341,1.14.99.66
5afy,H,P00734,3.4.21.5
5afy,L,P00734,3.4.21.5
5afz,H,P00734,3.4.21.5
5afz,L,P00734,3.4.21.5
5ag0,A,I2DBY1,1.11.1.19
5ag0,A,I2DBY1,1.11.1.7
5ag0,B,I2DBY1,1.11.1.19
5ag0,B,I2DBY1,1.11.1.7
5ag1,A,I2DBY1,1.11.1.19
5ag1,A,I2DBY1,1.11.1.7
5ag1,B,I2DBY1,1.11.1.19
5ag1,B,I2DBY1,1.11.1.7
5ag2,A,P41977,1.15.1.1
5ag2,C,P41977,1.15.1.1
5ag3,A,O30478,4.1.3.45
5ag3,B,O30478,4.1.3.45
5ag3,C,O30478,4.1.3.45
5ag4,A,Q4Q5S8,2.3.1.97
5ag5,A,Q4Q5S8,2.3.1.97
5ag6,A,Q4Q5S8,2.3.1.97
5ag7,A,Q4Q5S8,2.3.1.97
5ag8,A,P95493,3.4.22.37
5ag8,B,P95493,3.4.22.37
5ag9,A,P95493,3.4.22.37
5ag9,B,P95493,3.4.22.37
5aga,A,O75417,2.7.7.49
5aga,A,O75417,2.7.7.7
5aga,A,O75417,3.6.4.12
5agd,A,Q9Z4P9,3.2.1.101
5agd,B,Q9Z4P9,3.2.1.101
5age,A,Q4Q5S8,2.3.1.97
5agk,A,P29476,1.14.13.39
5agk,B,P29476,1.14.13.39
5agl,A,P29476,1.14.13.39
5agl,B,P29476,1.14.13.39
5agm,A,P29476,1.14.13.39
5agm,B,P29476,1.14.13.39
5agn,A,P29476,1.14.13.39
5agn,B,P29476,1.14.13.39
5ago,A,P29476,1.14.13.39
5ago,B,P29476,1.14.13.39
5agp,A,P29476,1.14.13.39
5agp,B,P29476,1.14.13.39
5agr,A,P9WFV1,6.1.1.4
5ags,A,P9WFV1,6.1.1.4
5agt,A,P9WFV1,6.1.1.4
5agu,A,P9WNU1,2.7.7.7
5agu,B,P9WNU1,2.7.7.7
5agv,A,P9WNU1,2.7.7.7
5agv,B,P9WNU1,2.7.7.7
5agy,A,I1MJ34,2.5.1.18
5agy,B,I1MJ34,2.5.1.18
5agz,A,P03366,2.7.7.-
5agz,A,P03366,2.7.7.49
5agz,A,P03366,2.7.7.7
5agz,A,P03366,3.1.-.-
5agz,A,P03366,3.1.13.2
5agz,A,P03366,3.1.26.13
5agz,A,P03366,3.4.23.16
5agz,B,P03366,2.7.7.-
5agz,B,P03366,2.7.7.49
5agz,B,P03366,2.7.7.7
5agz,B,P03366,3.1.-.-
5agz,B,P03366,3.1.13.2
5agz,B,P03366,3.1.26.13
5agz,B,P03366,3.4.23.16
5ah0,A,A0A0A0YMQ9,3.1.1.3
5ah0,B,A0A0A0YMQ9,3.1.1.3
5ah1,A,A5I055,3.1.1.3
5ah2,A,A0QND6,2.7.7.7
5ah2,B,A0QND6,2.7.7.7
5ah2,C,A0QND6,2.7.7.7
5ah2,D,A0QND6,2.7.7.7
5ah4,A,A0QND6,2.7.7.7
5ah4,B,A0QND6,2.7.7.7
5ah5,A,B9JQP8,6.1.1.4
5ah5,B,B9JQP8,6.1.1.4
5ah6,A,P03366,2.7.7.-
5ah6,A,P03366,2.7.7.49
5ah6,A,P03366,2.7.7.7
5ah6,A,P03366,3.1.-.-
5ah6,A,P03366,3.1.13.2
5ah6,A,P03366,3.1.26.13
5ah6,A,P03366,3.4.23.16
5ah6,B,P03366,2.7.7.-
5ah6,B,P03366,2.7.7.49
5ah6,B,P03366,2.7.7.7
5ah6,B,P03366,3.1.-.-
5ah6,B,P03366,3.1.13.2
5ah6,B,P03366,3.1.26.13
5ah6,B,P03366,3.4.23.16
5ah7,A,P12499,2.7.7.-
5ah7,A,P12499,2.7.7.49
5ah7,A,P12499,2.7.7.7
5ah7,A,P12499,3.1.-.-
5ah7,A,P12499,3.1.13.2
5ah7,A,P12499,3.1.26.13
5ah7,A,P12499,3.4.23.16
5ah7,B,P12499,2.7.7.-
5ah7,B,P12499,2.7.7.49
5ah7,B,P12499,2.7.7.7
5ah7,B,P12499,3.1.-.-
5ah7,B,P12499,3.1.13.2
5ah7,B,P12499,3.1.26.13
5ah7,B,P12499,3.4.23.16
5ah8,A,P03366,2.7.7.-
5ah8,A,P03366,2.7.7.49
5ah8,A,P03366,2.7.7.7
5ah8,A,P03366,3.1.-.-
5ah8,A,P03366,3.1.13.2
5ah8,A,P03366,3.1.26.13
5ah8,A,P03366,3.4.23.16
5ah8,B,P03366,2.7.7.-
5ah8,B,P03366,2.7.7.49
5ah8,B,P03366,2.7.7.7
5ah8,B,P03366,3.1.-.-
5ah8,B,P03366,3.1.13.2
5ah8,B,P03366,3.1.26.13
5ah8,B,P03366,3.4.23.16
5ah9,A,P03366,2.7.7.-
5ah9,A,P03366,2.7.7.49
5ah9,A,P03366,2.7.7.7
5ah9,A,P03366,3.1.-.-
5ah9,A,P03366,3.1.13.2
5ah9,A,P03366,3.1.26.13
5ah9,A,P03366,3.4.23.16
5ah9,B,P03366,2.7.7.-
5ah9,B,P03366,2.7.7.49
5ah9,B,P03366,2.7.7.7
5ah9,B,P03366,3.1.-.-
5ah9,B,P03366,3.1.13.2
5ah9,B,P03366,3.1.26.13
5ah9,B,P03366,3.4.23.16
5aha,A,P03366,2.7.7.-
5aha,A,P03366,2.7.7.49
5aha,A,P03366,2.7.7.7
5aha,A,P03366,3.1.-.-
5aha,A,P03366,3.1.13.2
5aha,A,P03366,3.1.26.13
5aha,A,P03366,3.4.23.16
5aha,B,P03366,2.7.7.-
5aha,B,P03366,2.7.7.49
5aha,B,P03366,2.7.7.7
5aha,B,P03366,3.1.-.-
5aha,B,P03366,3.1.13.2
5aha,B,P03366,3.1.26.13
5aha,B,P03366,3.4.23.16
5ahb,A,P03366,2.7.7.-
5ahb,A,P03366,2.7.7.49
5ahb,A,P03366,2.7.7.7
5ahb,A,P03366,3.1.-.-
5ahb,A,P03366,3.1.13.2
5ahb,A,P03366,3.1.26.13
5ahb,A,P03366,3.4.23.16
5ahb,B,P03366,2.7.7.-
5ahb,B,P03366,2.7.7.49
5ahb,B,P03366,2.7.7.7
5ahb,B,P03366,3.1.-.-
5ahb,B,P03366,3.1.13.2
5ahb,B,P03366,3.1.26.13
5ahb,B,P03366,3.4.23.16
5ahc,A,P03366,2.7.7.-
5ahc,A,P03366,2.7.7.49
5ahc,A,P03366,2.7.7.7
5ahc,A,P03366,3.1.-.-
5ahc,A,P03366,3.1.13.2
5ahc,A,P03366,3.1.26.13
5ahc,A,P03366,3.4.23.16
5ahc,B,P03366,2.7.7.-
5ahc,B,P03366,2.7.7.49
5ahc,B,P03366,2.7.7.7
5ahc,B,P03366,3.1.-.-
5ahc,B,P03366,3.1.13.2
5ahc,B,P03366,3.1.26.13
5ahc,B,P03366,3.4.23.16
5ahe,A,P10372,5.3.1.16
5ahf,A,P10372,5.3.1.16
5ahg,H,P00734,3.4.21.5
5ahg,L,P00734,3.4.21.5
5ahi,A,P10372,5.3.1.16
5ahj,A,P23639,3.4.25.1
5ahj,B,P23638,3.4.25.1
5ahj,C,P40303,3.4.25.1
5ahj,D,P32379,3.4.25.1
5ahj,E,P40302,3.4.25.1
5ahj,F,P21242,3.4.25.1
5ahj,G,P21243,3.4.25.1
5ahj,H,P25043,3.4.25.1
5ahj,I,P25451,3.4.25.1
5ahj,J,P22141,3.4.25.1
5ahj,K,P30656,3.4.25.1
5ahj,L,P23724,3.4.25.1
5ahj,M,P30657,3.4.25.1
5ahj,N,P38624,3.4.25.1
5ahj,O,P23639,3.4.25.1
5ahj,P,P23638,3.4.25.1
5ahj,Q,P40303,3.4.25.1
5ahj,R,P32379,3.4.25.1
5ahj,S,P40302,3.4.25.1
5ahj,T,P21242,3.4.25.1
5ahj,U,P21243,3.4.25.1
5ahj,V,P25043,3.4.25.1
5ahj,W,P25451,3.4.25.1
5ahj,X,P22141,3.4.25.1
5ahj,Y,P30656,3.4.25.1
5ahj,Z,P23724,3.4.25.1
5ahj,a,P30657,3.4.25.1
5ahj,b,P38624,3.4.25.1
5ahk,A,Q4K6F7,2.2.1.6
5ahk,B,Q4K6F7,2.2.1.6
5ahl,A,Q9HXM5,1.1.1.205
5ahm,A,Q9HXM5,1.1.1.205
5ahm,B,Q9HXM5,1.1.1.205
5ahn,A,Q9HXM5,1.1.1.205
5aho,A,Q9H816,3.1.-.-
5aho,A,Q9H816,3.5.2.6
5ahr,A,Q6PJP8,3.5.2.6
5ahs,A,K4L7X3,3.13.1.4
5ahs,B,K4L7X3,3.13.1.4
5ahs,C,K4L7X3,3.13.1.4
5ahs,D,K4L7X3,3.13.1.4
5ahs,E,K4L7X3,3.13.1.4
5ahs,F,K4L7X3,3.13.1.4
5aht,A,P46934,2.3.2.26
5ahu,A,Q86C09,2.5.1.10
5ahu,C,Q86C09,2.5.1.10
5ahx,A,P34913,3.1.3.76
5ahx,A,P34913,3.3.2.10
5ai0,A,P34913,3.1.3.76
5ai0,A,P34913,3.3.2.10
5ai1,A,P07445,5.3.3.1
5ai4,A,P34913,3.1.3.76
5ai4,A,P34913,3.3.2.10
5ai5,A,P34913,3.1.3.76
5ai5,A,P34913,3.3.2.10
5ai6,A,P34913,3.1.3.76
5ai6,A,P34913,3.3.2.10
5ai8,A,P34913,3.1.3.76
5ai8,A,P34913,3.3.2.10
5ai9,A,P34913,3.1.3.76
5ai9,A,P34913,3.3.2.10
5aia,A,P34913,3.1.3.76
5aia,A,P34913,3.3.2.10
5aib,A,P34913,3.1.3.76
5aib,A,P34913,3.3.2.10
5aic,A,P34913,3.1.3.76
5aic,A,P34913,3.3.2.10
5aie,A,P34909,2.3.2.27
5aie,B,P15731,2.3.2.23
5aij,A,Q9I5I9,3.1.6.21
5aik,A,Q13627,2.7.11.23
5aik,A,Q13627,2.7.12.1
5aik,B,Q13627,2.7.11.23
5aik,B,Q13627,2.7.12.1
5aik,C,Q13627,2.7.11.23
5aik,C,Q13627,2.7.12.1
5aik,D,Q13627,2.7.11.23
5aik,D,Q13627,2.7.12.1
5ail,A,Q8IXQ6,2.4.2.-
5ail,B,Q8IXQ6,2.4.2.-
5air,A,O75581,2.7.11.1
5air,A,Q9WV60,2.7.11.1
5air,A,O75581,2.7.11.26
5air,A,Q9WV60,2.7.11.26
5air,B,O75581,2.7.11.1
5air,B,Q9WV60,2.7.11.1
5air,B,O75581,2.7.11.26
5air,B,Q9WV60,2.7.11.26
5ais,A,O60760,2.5.1.18
5ais,A,O60760,5.3.99.2
5ais,B,O60760,2.5.1.18
5ais,B,O60760,5.3.99.2
5ais,C,O60760,2.5.1.18
5ais,C,O60760,5.3.99.2
5ais,D,O60760,2.5.1.18
5ais,D,O60760,5.3.99.2
5ait,A,O88846,2.3.2.27
5ait,B,P61088,2.3.2.23
5ait,E,P61088,2.3.2.23
5aiu,A,O88846,2.3.2.27
5aiu,B,P61088,2.3.2.23
5aiu,E,P61088,2.3.2.23
5aiv,A,O60760,2.5.1.18
5aiv,A,O60760,5.3.99.2
5aiv,B,O60760,2.5.1.18
5aiv,B,O60760,5.3.99.2
5aiv,C,O60760,2.5.1.18
5aiv,C,O60760,5.3.99.2
5aiv,D,O60760,2.5.1.18
5aiv,D,O60760,5.3.99.2
5aix,A,O60760,2.5.1.18
5aix,A,O60760,5.3.99.2
5aix,B,O60760,2.5.1.18
5aix,B,O60760,5.3.99.2
5aix,C,O60760,2.5.1.18
5aix,C,O60760,5.3.99.2
5aix,D,O60760,2.5.1.18
5aix,D,O60760,5.3.99.2
5aj0,BD,P23396,4.2.99.18
5aj4,Bu,W5IDC0,3.1.1.29
5aj9,A,P51691,3.1.6.1
5aj9,B,P51691,3.1.6.1
5aja,A,Q9Y4B6,2.7.11.1
5ajd,B,P34909,2.3.2.27
5ajd,D,P34909,2.3.2.27
5ajd,F,P34909,2.3.2.27
5ajd,H,P34909,2.3.2.27
5ajd,J,P34909,2.3.2.27
5ajd,L,P34909,2.3.2.27
5ajg,A,Q9RZA4,2.7.13.3
5ajh,A,X0BTD8,3.1.1.74
5ajh,B,X0BTD8,3.1.1.74
5ajh,C,X0BTD8,3.1.1.74
5ajl,A,Q9I5I9,3.1.6.21
5ajl,B,Q9I5I9,3.1.6.21
5ajn,A,Q10471,2.4.1.41
5ajo,A,Q10471,2.4.1.41
5ajp,A,Q10471,2.4.1.41
5ajq,A,O94804,2.7.11.1
5ajq,B,O94804,2.7.11.1
5ajr,A,Q7Z1V1,1.14.14.154
5ajv,B,Q16875,2.7.1.105
5ajv,B,Q16875,3.1.3.46
5ajw,A,Q16875,2.7.1.105
5ajw,A,Q16875,3.1.3.46
5ajx,A,Q16875,2.7.1.105
5ajx,A,Q16875,3.1.3.46
5ajy,A,Q16875,2.7.1.105
5ajy,A,Q16875,3.1.3.46
5ajz,A,Q16875,2.7.1.105
5ajz,A,Q16875,3.1.3.46
5ak0,A,Q16875,2.7.1.105
5ak0,A,Q16875,3.1.3.46
5ak3,A,P34913,3.1.3.76
5ak3,A,P34913,3.3.2.10
5ak4,A,P34913,3.1.3.76
5ak4,A,P34913,3.3.2.10
5ak5,A,P34913,3.1.3.76
5ak5,A,P34913,3.3.2.10
5ak6,A,P34913,3.1.3.76
5ak6,A,P34913,3.3.2.10
5ak7,A,Q9RQJ2,3.5.3.-
5ak8,A,Q9RQJ2,3.5.3.-
5ak9,A,P21505,3.1.-.-
5ak9,E,P21505,3.1.-.-
5ak9,J,P21505,3.1.-.-
5aka,5,P0AGD7,3.6.5.4
5ake,A,P34913,3.1.3.76
5ake,A,P34913,3.3.2.10
5akf,A,P21505,3.1.-.-
5akf,E,P21505,3.1.-.-
5akf,I,P21505,3.1.-.-
5akg,A,P34913,3.1.3.76
5akg,A,P34913,3.3.2.10
5akh,A,P34913,3.1.3.76
5akh,A,P34913,3.3.2.10
5aki,A,P34913,3.1.3.76
5aki,A,P34913,3.3.2.10
5akj,A,P34913,3.1.3.76
5akj,A,P34913,3.3.2.10
5akk,A,P34913,3.1.3.76
5akk,A,P34913,3.3.2.10
5akl,A,P34913,3.1.3.76
5akl,A,P34913,3.3.2.10
5akm,A,P21505,3.1.-.-
5akm,F,P21505,3.1.-.-
5akm,K,P21505,3.1.-.-
5akn,A,P21505,3.1.-.-
5akn,F,P21505,3.1.-.-
5akn,K,P21505,3.1.-.-
5akq,A,O52063,3.5.4.42
5akq,B,O52063,3.5.4.42
5akr,A,P25006,1.7.2.1
5aku,A,Q9H2K2,2.4.2.-
5aku,A,Q9H2K2,2.4.2.30
5aku,B,Q9H2K2,2.4.2.-
5aku,B,Q9H2K2,2.4.2.30
5akw,A,Q9H2K2,2.4.2.-
5akw,A,Q9H2K2,2.4.2.30
5akw,B,Q9H2K2,2.4.2.-
5akw,B,Q9H2K2,2.4.2.30
5akx,A,P34913,3.1.3.76
5akx,A,P34913,3.3.2.10
5aky,A,P34913,3.1.3.76
5aky,A,P34913,3.3.2.10
5akz,A,P34913,3.1.3.76
5akz,A,P34913,3.3.2.10
5al1,A,Q9H2K2,2.4.2.-
5al1,A,Q9H2K2,2.4.2.30
5al1,B,Q9H2K2,2.4.2.-
5al1,B,Q9H2K2,2.4.2.30
5al2,A,Q9H2K2,2.4.2.-
5al2,A,Q9H2K2,2.4.2.30
5al2,B,Q9H2K2,2.4.2.-
5al2,B,Q9H2K2,2.4.2.30
5al3,A,Q9H2K2,2.4.2.-
5al3,A,Q9H2K2,2.4.2.30
5al3,B,Q9H2K2,2.4.2.-
5al3,B,Q9H2K2,2.4.2.30
5al4,A,Q9H2K2,2.4.2.-
5al4,A,Q9H2K2,2.4.2.30
5al4,B,Q9H2K2,2.4.2.-
5al4,B,Q9H2K2,2.4.2.30
5al5,A,Q9H2K2,2.4.2.-
5al5,A,Q9H2K2,2.4.2.30
5al5,B,Q9H2K2,2.4.2.-
5al5,B,Q9H2K2,2.4.2.30
5al9,A,Q4Q3K2,1.11.1.5
5ala,A,Q4Q3K2,1.11.1.5
5ala,B,Q4Q3K2,1.11.1.5
5ald,A,P34913,3.1.3.76
5ald,A,P34913,3.3.2.10
5ale,A,P34913,3.1.3.76
5ale,A,P34913,3.3.2.10
5alf,A,P34913,3.1.3.76
5alf,A,P34913,3.3.2.10
5alg,A,P34913,3.1.3.76
5alg,A,P34913,3.3.2.10
5alh,A,P34913,3.1.3.76
5alh,A,P34913,3.3.2.10
5ali,A,P34913,3.1.3.76
5ali,A,P34913,3.3.2.10
5alj,A,P34913,3.1.3.76
5alj,A,P34913,3.3.2.10
